return_id,order_id,order_item_id,return_date,return_reason,refund_amount
700381,507913,13244,2024-08-24,Quality Issue,
700382,507913,13245,2024-08-22,Damaged Product,
700383,507913,13246,2024-08-31,Quality Issue,
700384,507959,13320,2024-05-25,Wrong Product,
700385,507959,13321,2024-05-30,Damaged Product,
700386,507959,13322,2024-06-02,Late Delivery,
700387,507974,13353,2025-04-07,Changed Mind,
700388,507974,13354,2025-04-09,Damaged Product,
700389,507974,13355,2025-04-11,Other,
700390,507974,13356,2025-04-04,Damaged Product,
700391,507982,13369,2024-06-14,Other,
700392,508026,13444,2025-01-08,Quality Issue,
700393,508026,13445,2025-01-12,Damaged Product,
700394,508055,13489,2024-04-11,Late Delivery,
700395,508055,13490,2024-04-12,Quality Issue,
700396,508055,13491,2024-04-10,Damaged Product,
700397,508098,13558,2024-08-01,Damaged Product,
700398,508101,13564,2024-12-31,Other,
700399,508111,13585,2024-09-24,Quality Issue,
700400,508111,13586,2024-09-15,Quality Issue,
700401,508111,13587,2024-09-24,Wrong Product,
700402,508133,13624,2025-07-09,Changed Mind,
700403,508173,13696,2024-12-16,Damaged Product,
700404,508184,13717,2025-01-05,Wrong Product,
700405,508198,13740,2024-02-14,Changed Mind,
700406,508205,13752,2024-03-17,Damaged Product,
700407,508229,13795,2024-10-05,Changed Mind,
700408,508290,13892,2024-02-06,Quality Issue,
700409,508395,14056,2024-09-26,Damaged Product,
700410,508421,14090,2025-02-23,Other,
700411,508441,14123,2024-04-09,Quality Issue,
700412,508471,14173,2025-06-21,Other,
700413,508471,14175,2025-06-22,Damaged Product,
700414,508502,14226,2024-03-30,Damaged Product,
700415,508502,14227,2024-04-05,Other,
700416,508612,14412,2024-07-16,Wrong Product,
700417,508680,14521,2025-01-23,Changed Mind,
700418,508707,14566,2024-02-17,Quality Issue,
700419,508707,14567,2024-02-18,Late Delivery,
700420,508716,14580,2024-08-27,Changed Mind,
700421,508719,14583,2024-07-18,Changed Mind,
700422,508720,14585,2025-02-07,Late Delivery,
700423,508720,14586,2025-02-20,Quality Issue,
700424,508823,14747,2025-06-13,Damaged Product,
700425,508823,14748,2025-06-16,Changed Mind,
700426,508823,14749,2025-06-28,Wrong Product,
700427,508859,14802,2025-05-08,Changed Mind,
700428,508859,14803,2025-05-06,Wrong Product,
700429,508928,14914,2024-04-16,Damaged Product,
700430,508934,14920,2024-10-21,Wrong Product,
700431,508934,14921,2024-10-15,Quality Issue,
700432,508942,14939,2025-07-15,Late Delivery,
700433,508958,14964,2025-05-13,Late Delivery,
700434,508963,14975,2025-03-31,Quality Issue,
700435,508963,14976,2025-03-25,Late Delivery,
700436,508971,14987,2024-05-31,Quality Issue,
700437,508999,15031,2025-02-18,Damaged Product,
700438,509019,15061,2024-01-24,Wrong Product,
700439,509033,15081,2024-02-01,Wrong Product,
700440,509083,15164,2024-02-26,Damaged Product,
700441,509083,15165,2024-02-18,Wrong Product,
700442,509105,15200,2024-07-08,Wrong Product,
700443,509155,15285,2025-04-26,Changed Mind,
700444,509155,15286,2025-04-18,Wrong Product,
700445,509155,15287,2025-04-22,Quality Issue,
700446,509155,15288,2025-04-25,Changed Mind,
700447,509220,15401,2024-12-16,Changed Mind,
700448,509246,15446,2024-11-19,Quality Issue,
700449,509246,15447,2024-11-13,Damaged Product,
700450,509299,15543,2024-02-01,Wrong Product,
700451,509325,15585,2024-05-26,Damaged Product,
700452,509325,15586,2024-05-26,Late Delivery,
700453,509337,15602,2024-03-23,Wrong Product,
700454,509341,15608,2024-06-05,Other,
700455,509341,15609,2024-05-31,Late Delivery,
700456,509341,15610,2024-05-27,Damaged Product,
700457,509398,15698,2024-02-22,Quality Issue,
700458,509425,15750,2025-01-12,Late Delivery,
700459,509459,15801,2025-04-03,Quality Issue,
700460,509472,15820,2024-09-29,Quality Issue,
700461,509472,15821,2024-10-07,Quality Issue,
700462,509472,15822,2024-09-24,Damaged Product,
700463,509472,15823,2024-10-04,Changed Mind,
700464,509514,15897,2025-03-04,Wrong Product,
700465,509555,15971,2024-03-01,Quality Issue,
700466,509555,15972,2024-03-10,Quality Issue,
700467,509555,15973,2024-03-02,Changed Mind,
700468,509606,16052,2025-01-23,Quality Issue,
700469,509655,16126,2024-04-08,Changed Mind,
700470,509656,16127,2024-09-24,Quality Issue,
700471,509664,16142,2024-09-17,Wrong Product,
700472,509742,16273,2025-01-17,Changed Mind,
700473,509743,16274,2025-03-22,Quality Issue,
700474,509757,16298,2024-08-29,Changed Mind,
700475,509770,16327,2024-06-29,Quality Issue,
700476,509801,16373,2024-08-14,Late Delivery,
700477,509801,16374,2024-08-20,Quality Issue,
700478,509801,16376,2024-08-17,Quality Issue,
700479,509812,16390,2024-12-24,Late Delivery,
700480,509844,16442,2024-03-12,Late Delivery,
700481,509865,16473,2024-08-08,Late Delivery,
700482,509899,16521,2024-03-10,Quality Issue,
700483,509899,16522,2024-03-15,Wrong Product,
700484,509899,16523,2024-03-04,Quality Issue,
700485,509901,16527,2025-07-07,Changed Mind,
700486,509915,16548,2025-04-19,Damaged Product,
700487,509915,16549,2025-04-25,Damaged Product,
700488,509920,16557,2024-02-13,Wrong Product,
700489,509920,16558,2024-02-17,Wrong Product,
700490,509921,16559,2025-02-15,Quality Issue,
700491,509925,16565,2024-10-17,Damaged Product,
700492,509935,16579,2025-01-18,Late Delivery,
700493,510029,16731,2024-05-06,Quality Issue,
700494,510080,16821,2025-05-27,Quality Issue,
700495,510080,16822,2025-06-12,Late Delivery,
700496,510094,16848,2024-11-09,Changed Mind,
700497,510094,16849,2024-11-04,Damaged Product,
700498,510094,16850,2024-11-04,Quality Issue,
700499,510121,16890,2024-02-08,Damaged Product,
700500,510153,16945,2024-11-13,Damaged Product,
700501,510173,16977,2024-02-18,Late Delivery,
700502,510174,16978,2025-03-21,Other,
700503,510188,16997,2025-03-28,Damaged Product,
700504,510192,17002,2025-03-29,Other,
700505,510192,17003,2025-03-23,Changed Mind,
700506,510192,17004,2025-03-30,Quality Issue,
700507,510203,17019,2025-04-12,Other,
700508,510289,17157,2025-01-14,Other,
700509,510297,17169,2024-09-02,Other,
700510,510307,17182,2024-07-17,Changed Mind,
700511,510326,17213,2024-08-27,Wrong Product,
700512,510332,17223,2024-11-27,Quality Issue,
700513,510395,17331,2024-01-21,Damaged Product,
700514,510452,17431,2024-03-13,Quality Issue,
700515,510471,17462,2024-03-10,Changed Mind,
700516,510471,17463,2024-03-06,Damaged Product,
700517,510509,17525,2025-01-12,Damaged Product,
700518,510509,17526,2025-01-18,Late Delivery,
700519,510548,17595,2024-09-11,Changed Mind,
700520,510595,17676,2025-02-28,Quality Issue,
700521,510645,17771,2025-03-26,Wrong Product,
700522,510659,17794,2024-09-16,Other,
700523,510668,17807,2024-05-23,Changed Mind,
700524,510786,18004,2025-03-13,Other,
700525,510801,18032,2024-04-12,Quality Issue,
700526,510801,18033,2024-04-16,Damaged Product,
700527,510852,18112,2024-10-21,Late Delivery,
700528,510852,18113,2024-10-18,Quality Issue,
700529,510852,18114,2024-10-31,Late Delivery,
700530,510912,18217,2025-01-17,Damaged Product,
700531,510950,18290,2024-06-04,Late Delivery,
700532,510961,18308,2025-05-16,Changed Mind,
700533,510961,18309,2025-05-19,Changed Mind,
700534,510961,18310,2025-05-12,Changed Mind,
700535,511015,18392,2024-04-25,Changed Mind,
700536,511021,18400,2024-10-11,Late Delivery,
700537,511025,18405,2024-05-25,Late Delivery,
700538,511059,18454,2024-04-19,Changed Mind,
700539,511059,18455,2024-04-25,Wrong Product,
700540,511077,18484,2024-02-08,Wrong Product,
700541,511104,18529,2025-01-24,Quality Issue,
700542,511105,18531,2025-02-19,Quality Issue,
700543,511107,18534,2024-09-04,Wrong Product,
700544,511107,18535,2024-08-21,Quality Issue,
700545,511111,18540,2024-11-06,Damaged Product,
700546,511140,18587,2024-04-01,Quality Issue,
700547,511140,18588,2024-04-07,Wrong Product,
700548,511140,18589,2024-04-03,Changed Mind,
700549,511157,18617,2024-09-12,Changed Mind,
700550,511181,18646,2024-03-18,Late Delivery,
700551,511225,18710,2024-10-11,Quality Issue,
700552,511235,18726,2025-06-08,Late Delivery,
700553,511235,18727,2025-06-02,Damaged Product,
700554,511299,18828,2024-07-31,Other,
700555,511332,18882,2024-07-28,Damaged Product,
700556,511332,18883,2024-08-07,Changed Mind,
700557,511369,18958,2025-01-12,Quality Issue,
700558,511393,19003,2025-04-25,Wrong Product,
700559,511408,19027,2024-05-10,Wrong Product,
700560,511433,19077,2024-03-25,Quality Issue,
700561,511436,19081,2024-08-22,Quality Issue,
700562,511474,19154,2025-05-28,Quality Issue,
700563,511483,19169,2024-10-17,Quality Issue,
700564,511566,19306,2025-02-16,Other,
700565,511566,19307,2025-02-16,Wrong Product,
700566,511566,19308,2025-02-13,Wrong Product,
700567,511566,19309,2025-02-13,Quality Issue,
700568,511568,19311,2024-12-15,Damaged Product,
700569,511587,19342,2025-06-01,Wrong Product,
700570,511588,19343,2024-04-16,Late Delivery,
700571,511595,19353,2025-04-08,Changed Mind,
700572,511602,19364,2024-01-19,Quality Issue,
700573,511602,19367,2024-02-01,Quality Issue,
700574,511610,19380,2024-02-20,Changed Mind,
700575,511667,19481,2024-07-17,Wrong Product,
700576,511670,19485,2024-10-15,Quality Issue,
700577,511681,19502,2024-08-22,Damaged Product,
700578,511683,19504,2024-10-20,Late Delivery,
700579,511687,19513,2024-12-26,Other,
700580,511687,19514,2024-12-17,Damaged Product,
